Time,Setpoint,Measurement,Output,Error
5.270,10.000,9.185,8.152,0.815
5.280,10.000,9.221,7.789,0.779
5.290,10.000,9.255,7.452,0.745
5.300,10.000,9.212,7.884,0.788
5.310,10.000,9.276,7.245,0.724
5.320,10.000,9.230,7.696,0.770
5.330,10.000,9.180,8.196,0.820
5.340,10.000,9.258,7.423,0.742
5.350,10.000,9.194,8.064,0.806
5.360,10.000,9.263,7.367,0.737
5.370,10.000,9.208,7.922,0.792
5.380,10.000,9.257,7.432,0.743
5.390,10.000,9.214,7.855,0.786
5.400,10.000,9.202,7.977,0.798
5.410,10.000,9.236,7.643,0.764
5.420,10.000,9.219,7.813,0.781
5.430,10.000,9.269,7.313,0.731
5.440,10.000,9.203,7.967,0.797
5.450,10.000,9.233,7.667,0.767
5.460,10.000,9.225,7.750,0.775
5.470,10.000,9.183,8.168,0.817
5.480,10.000,9.238,7.625,0.762
5.490,10.000,9.205,7.954,0.795
5.500,10.000,9.247,7.530,0.753
5.510,10.000,9.273,7.265,0.727
5.520,10.000,9.206,7.939,0.794
5.530,10.000,9.241,7.592,0.759
5.540,10.000,9.267,7.330,0.733
5.550,10.000,9.248,7.522,0.752
5.560,10.000,9.266,7.341,0.734
5.570,10.000,9.239,7.613,0.761
5.580,10.000,9.253,7.470,0.747
5.590,10.000,9.204,7.957,0.796
5.600,10.000,9.214,7.860,0.786
5.610,10.000,9.188,8.120,0.812
5.620,10.000,9.206,7.941,0.794
5.630,10.000,9.273,7.270,0.727
5.640,10.000,9.193,8.066,0.807
5.650,10.000,9.185,8.147,0.815
5.660,10.000,9.191,8.089,0.809
5.670,10.000,9.284,7.161,0.716
5.680,10.000,9.217,7.833,0.783
5.690,10.000,9.268,7.318,0.732
5.700,10.000,9.216,7.843,0.784
5.710,10.000,9.239,7.605,0.761
5.720,10.000,9.221,7.787,0.779
5.730,10.000,9.255,7.451,0.745
5.740,10.000,9.226,7.744,0.774
5.750,10.000,9.245,7.549,0.755
5.760,10.000,9.206,7.944,0.794
5.770,10.000,9.271,7.289,0.729
5.780,10.000,9.246,7.543,0.754
5.790,10.000,9.258,7.423,0.742
5.800,10.000,9.188,8.124,0.812
5.810,10.000,9.208,7.919,0.792
5.820,10.000,9.250,7.503,0.750
5.830,10.000,9.215,7.847,0.785
5.840,10.000,9.267,7.326,0.733
5.850,10.000,9.232,7.677,0.768
5.860,10.000,9.182,8.181,0.818
5.870,10.000,9.255,7.449,0.745
5.880,10.000,9.196,8.044,0.804
5.890,10.000,9.262,7.378,0.738
5.900,10.000,9.183,8.168,0.817
5.910,10.000,9.236,7.640,0.764
5.920,10.000,9.273,7.268,0.727
5.930,10.000,9.209,7.911,0.791
5.940,10.000,9.226,7.743,0.774
5.950,10.000,9.187,8.135,0.813
5.960,10.000,9.217,7.830,0.783
5.970,10.000,9.236,7.636,0.764
5.980,10.000,9.187,8.130,0.813
5.990,10.000,9.253,7.465,0.747
6.000,10.000,9.221,7.786,0.779
6.010,10.000,9.223,7.775,0.777
6.020,10.000,9.210,7.902,0.790
6.030,10.000,9.263,7.373,0.737
6.040,10.000,9.194,8.057,0.806
6.050,10.000,9.255,7.445,0.745
6.060,10.000,9.225,7.752,0.775
6.070,10.000,9.220,7.799,0.780
6.080,10.000,9.244,7.563,0.756
6.090,10.000,9.191,8.092,0.809
6.100,10.000,9.201,7.990,0.799
6.110,10.000,9.257,7.428,0.743
6.120,10.000,9.221,7.786,0.779
6.130,10.000,9.270,7.300,0.730
6.140,10.000,9.189,8.111,0.811
6.150,10.000,9.208,7.917,0.792
6.160,10.000,9.225,7.752,0.775
6.170,10.000,9.196,8.040,0.804
6.180,10.000,9.285,7.147,0.715
6.190,10.000,9.239,7.610,0.761
6.200,10.000,9.274,7.260,0.726
6.210,10.000,9.281,7.186,0.719
6.220,10.000,9.185,8.146,0.815
6.230,10.000,9.261,7.389,0.739
6.240,10.000,9.208,7.924,0.792
6.250,10.000,9.232,7.685,0.768
6.260,10.000,9.265,7.350,0.735
6.270,10.000,9.239,7.609,0.761
6.280,10.000,9.280,7.203,0.720
6.290,10.000,9.261,7.388,0.739
6.300,10.000,9.199,8.005,0.801
6.310,10.000,9.212,7.882,0.788
6.320,10.000,9.198,8.020,0.802
6.330,10.000,9.227,7.731,0.773
6.340,10.000,9.189,8.109,0.811
6.350,10.000,9.210,7.897,0.790
6.360,10.000,9.197,8.026,0.803
6.370,10.000,9.232,7.678,0.768
6.380,10.000,9.246,7.542,0.754
6.390,10.000,9.254,7.463,0.746
6.400,10.000,9.233,7.669,0.767
6.410,10.000,9.254,7.455,0.746
6.420,10.000,9.216,7.836,0.784
6.430,10.000,9.264,7.362,0.736
6.440,10.000,9.231,7.685,0.769
6.450,10.000,9.216,7.840,0.784
6.460,10.000,9.280,7.196,0.720
6.470,10.000,9.262,7.378,0.738
6.480,10.000,9.216,7.841,0.784
6.490,10.000,9.268,7.324,0.732
6.500,10.000,9.207,7.927,0.793
6.510,10.000,9.200,8.002,0.800
6.520,10.000,9.262,7.375,0.738
6.530,10.000,9.210,7.905,0.790
6.540,10.000,9.275,7.251,0.725
6.550,10.000,9.181,8.186,0.819
6.560,10.000,9.256,7.441,0.744
6.570,10.000,9.252,7.480,0.748
6.580,10.000,9.236,7.639,0.764
6.590,10.000,9.248,7.515,0.752
6.600,10.000,9.229,7.706,0.771
6.610,10.000,9.255,7.450,0.745
6.620,10.000,9.277,7.233,0.723
6.630,10.000,9.241,7.590,0.759
6.640,10.000,9.193,8.071,0.807
6.650,10.000,9.180,8.197,0.820
6.660,10.000,9.269,7.308,0.731
6.670,10.000,9.205,7.948,0.795
6.680,10.000,9.225,7.752,0.775
6.690,10.000,9.225,7.754,0.775
6.700,10.000,9.272,7.279,0.728
6.710,10.000,9.269,7.315,0.731
6.720,10.000,9.187,8.127,0.813
6.730,10.000,9.200,7.995,0.800
6.740,10.000,9.248,7.523,0.752
6.750,10.000,9.237,7.625,0.763
6.760,10.000,9.232,7.679,0.768
6.770,10.000,9.241,7.589,0.759
6.780,10.000,9.216,7.840,0.784
6.790,10.000,9.268,7.324,0.732
6.800,10.000,9.225,7.748,0.775
6.810,10.000,9.243,7.570,0.757
6.820,10.000,9.184,8.160,0.816
6.830,10.000,9.207,7.925,0.793
6.840,10.000,9.275,7.247,0.725
6.850,10.000,9.178,8.216,0.822
6.860,10.000,9.211,7.886,0.789
6.870,10.000,9.251,7.495,0.749
6.880,10.000,9.253,7.473,0.747
6.890,10.000,9.267,7.334,0.733
6.900,10.000,9.215,7.849,0.785
6.910,10.000,9.201,7.986,0.799
6.920,10.000,9.244,7.560,0.756
6.930,10.000,9.217,7.831,0.783
